"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;1;6
"Proportion of isolates";0;0,0476190476190476;0,285714285714286
"Number of links";110;96;14
"Proportion of links";1;0,872727272727273;0,127272727272727
"Density";0,523809523809524;0,505263157894737;0,133333333333333
"Global transitivity";0,737830913748933;0,808421052631579;0
"Average local transitivity";0,729480510152779;0,844582084582085;0
"Number of components";1;1;2
"Giant component size";21;20;13
"Giant component proportion";1;1;0,866666666666667
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";10,4761904761905;9,6;1,86666666666667
"Degree stdev";3,58634978242569;3,61866506354281;2,06559111797729
"Minimal degree";4;2;1
"Maximal degree";18;15;9
"Degree correlation";0,0890823318864368;0,326349904508361;-0,567251461988304
"Average strength";7,1635127082249;7,81366989302117;-0,38930873251336
"Strength stdev";3,5472254710963;2,93107585842996;0,462329747862856
"Minimal strength";-1,9965602178976;1,46428571428571;-1,9965602178976
"Maximal strength";12,3094567319822;12,9525901942646;-0,153846153846154
"Strength correlation";-0,0129884312698362;0,231285407092102;-0,530487663556644
