"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;1;7
"Proportion of isolates";0,0476190476190476;0,0476190476190476;0,333333333333333
"Number of links";93;70;23
"Proportion of links";1;0,752688172043011;0,247311827956989
"Density";0,489473684210526;0,368421052631579;0,252747252747253
"Global transitivity";0,879807692307692;0,966942148760331;0
"Average local transitivity";0,876902819402819;0,957671957671958;0
"Number of components";1;3;1
"Giant component size";20;10;14
"Giant component proportion";1;0,5;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";9,3;7;3,28571428571429
"Degree stdev";2,51521684740574;2,5955427380922;2,6436737675082
"Minimal degree";5;1;1
"Maximal degree";13;9;10
"Degree correlation";0,671484311869415;0,837962962962963;-0,756167837205115
"Average strength";5,34897287278175;5,86428749911582;-0,736163751905815
"Strength stdev";2,39587140742348;1,94632053372552;0,600351243082629
"Minimal strength";-1,39581986547709;0,809782608695652;-2,20560247417274
"Maximal strength";6,83216605759133;7,22875558135529;-0,149171270718232
"Strength correlation";-0,0777696079482651;0,542406818251665;-0,787396033483985
