"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;1;6
"Proportion of isolates";0,0476190476190476;0,0476190476190476;0,285714285714286
"Number of links";157;142;15
"Proportion of links";1;0,904458598726115;0,0955414012738854
"Density";0,826315789473684;0,747368421052632;0,142857142857143
"Global transitivity";0,881984987489575;0,924184261036468;0
"Average local transitivity";0,879687420422715;0,925945078886255;0
"Number of components";1;2;1
"Giant component size";20;18;15
"Giant component proportion";1;0,9;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,7;14,2;2
"Degree stdev";3,07964454544933;4,6971435888992;2,61861468283191
"Minimal degree";5;1;1
"Maximal degree";18;17;11
"Degree correlation";-0,00633376402928282;0,399692544196768;-0,781270464963982
"Average strength";11,9788283925267;12,61372609241;-0,846530266511171
"Strength stdev";5,28429701642458;4,47059837420364;1,05036552672469
"Minimal strength";-3,63248419023571;0,684210526315789;-4,3166947165515
"Maximal strength";15,6239132280053;15,7599154933678;-0,350877192982456
"Strength correlation";0,0272353973095026;0,15095062470055;-0,866612388914009
