"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;4
"Proportion of isolates";0;0;0,235294117647059
"Number of links";64;40;24
"Proportion of links";1;0,625;0,375
"Density";0,470588235294118;0,294117647058824;0,307692307692308
"Global transitivity";0,70188679245283;0,862068965517241;0
"Average local transitivity";0,868160597572362;0,942857142857143;0
"Number of components";1;3;1
"Giant component size";17;9;13
"Giant component proportion";1;0,529411764705882;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,52941176470588;4,70588235294118;3,69230769230769
"Degree stdev";3,74362202717541;1,79459974236433;2,13637603527623
"Minimal degree";2;1;1
"Maximal degree";16;8;8
"Degree correlation";-0,273805807055885;0,0572390572390593;-0,651898734177216
"Average strength";2,96909062464085;3,8172294253187;-1,10910458550181
"Strength stdev";1,28162865781477;1,33688953082881;0,700134053201791
"Minimal strength";0,0673952641165759;0,761904761904762;-2,61728082368451
"Maximal strength";4,10627617872462;5,04461192795329;-0,231884057971014
"Strength correlation";0,276487710620042;0,491194385587064;-0,599844459399589
