"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;10
"Proportion of isolates";0;0;0,476190476190476
"Number of links";201;178;23
"Proportion of links";1;0,885572139303483;0,114427860696517
"Density";0,957142857142857;0,847619047619048;0,418181818181818
"Global transitivity";0,964285714285714;0,876636802205376;0
"Average local transitivity";0,966910331384016;0,891955909669311;0
"Number of components";1;1;1
"Giant component size";21;21;11
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,1428571428571;16,952380952381;4,18181818181818
"Degree stdev";1,45896244933563;2,4995237641637;1,40129809949074
"Minimal degree";15;13;1
"Maximal degree";20;20;6
"Degree correlation";-0,161540829462156;-0,190130989087896;-0,405555555555558
"Average strength";6,37828060838767;6,49803748572585;-0,228626765827422
"Strength stdev";1,7200506317462;1,68532441480799;0,184758670306428
"Minimal strength";2,58448554188196;2,58448554188196;-0,663015586102529
"Maximal strength";9,30097941216137;9,30097941216137;-0,0692124105011933
"Strength correlation";-0,0425771013043584;-0,0202615800768536;-0,162721416418966
