"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;3;3
"Proportion of isolates";0,0526315789473684;0,157894736842105;0,157894736842105
"Number of links";72;52;20
"Proportion of links";1;0,722222222222222;0,277777777777778
"Density";0,470588235294118;0,433333333333333;0,166666666666667
"Global transitivity";0,769771528998243;0,814024390243902;0
"Average local transitivity";0,863095238095238;0,888932178932179;0
"Number of components";1;1;1
"Giant component size";18;16;16
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8;6,5;2,5
"Degree stdev";2,76533159377486;2,36643191323985;3,3065591380366
"Minimal degree";2;1;1
"Maximal degree";14;12;14
"Degree correlation";-0,117124761356405;-0,0222686151704933;-0,815326633165829
"Average strength";4,33990956638153;5,38787703771568;-0,505478775536464
"Strength stdev";2,8819934706535;1,82328829003956;0,690097078177825
"Minimal strength";-2,97294030987241;0,621621621621622;-2,97294030987241
"Maximal strength";8,55072339446163;8,80072339446163;-0,184782608695652
"Strength correlation";-0,0513867159184867;-0,0581665852373043;-0,761134154707992
