"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;1
"Proportion of isolates";0;0;0,0526315789473684
"Number of links";170;126;44
"Proportion of links";1;0,741176470588235;0,258823529411765
"Density";0,994152046783626;0,736842105263158;0,287581699346405
"Global transitivity";0,994082840236686;0,974093264248705;0
"Average local transitivity";0,994152046783626;0,984520123839009;0
"Number of components";1;1;1
"Giant component size";19;19;18
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,8947368421053;13,2631578947368;4,88888888888889
"Degree stdev";0,315301767642306;4,61690258438319;4,50997442132943
"Minimal degree";17;3;2
"Maximal degree";18;18;15
"Degree correlation";-0,111111111110339;0,440000000000001;-0,996647509578544
"Average strength";6,49340886974594;7,75600188817247;-1,33273707500578
"Strength stdev";4,58076568105879;3,53157760192878;1,29796135488893
"Minimal strength";-4,55120513926474;0,662670576928485;-5,21387571619322
"Maximal strength";10,075400128399;10,7049627794418;-0,420320656986053
"Strength correlation";-0,051293323107808;0,402169735688089;-0,853090262660314
