"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;1
"Proportion of isolates";0;0;0,0526315789473684
"Number of links";167;126;41
"Proportion of links";1;0,754491017964072;0,245508982035928
"Density";0,976608187134503;0,736842105263158;0,26797385620915
"Global transitivity";0,978378378378378;0,919269298762522;0
"Average local transitivity";0,979360165118679;0,919357216570839;0
"Number of components";1;1;1
"Giant component size";19;19;18
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,5789473684211;13,2631578947368;4,55555555555556
"Degree stdev";0,837707816583391;4,10747428832364;4,25955289316534
"Minimal degree";16;3;1
"Maximal degree";18;18;15
"Degree correlation";-0,159722222222245;0,246348246084792;-0,985503783353246
"Average strength";8,25391671457289;9,56089943543485;-1,37959287202096
"Strength stdev";4,98189161855366;3,90956613146741;1,32195572422064
"Minimal strength";-3,61895900386203;1,56827012025902;-5,18722912412105
"Maximal strength";12,5;13;-0,343516085363911
"Strength correlation";-0,061007998699145;0,253855474236813;-0,906170921919498
