"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;10
"Proportion of isolates";0;0;0,588235294117647
"Number of links";135;128;7
"Proportion of links";1;0,948148148148148;0,0518518518518519
"Density";0,992647058823529;0,941176470588235;0,333333333333333
"Global transitivity";0,992537313432836;0,951541850220264;0
"Average local transitivity";0,99264705882353;0,955914673561732;0
"Number of components";1;1;1
"Giant component size";17;17;7
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,8823529411765;15,0588235294118;2
"Degree stdev";0,332105582077536;1,43486010795888;1,4142135623731
"Minimal degree";15;11;1
"Maximal degree";16;16;5
"Degree correlation";-0,125000000000108;-0,182897862232779;-0,75
"Average strength";6,89319924287557;6,97378080407996;-0,195698077210682
"Strength stdev";1,69013901729121;1,59282942268751;0,209720668501019
"Minimal strength";4,20387365015848;4,41847060004955;-0,626960076960077
"Maximal strength";9,74781561747506;9,74781561747506;-0,0357142857142857
"Strength correlation";-0,064557168778772;-0,141347925522176;-0,422833713669973
