"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;5
"Proportion of isolates";0;0;0,263157894736842
"Number of links";165;150;15
"Proportion of links";1;0,909090909090909;0,0909090909090909
"Density";0,964912280701754;0,87719298245614;0,164835164835165
"Global transitivity";0,964523281596452;0,904109589041096;0
"Average local transitivity";0,964827509951349;0,910907101154779;0
"Number of components";1;1;1
"Giant component size";19;19;14
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,3684210526316;15,7894736842105;2,14285714285714
"Degree stdev";0,760885910252682;2,22558225511191;2,03269971512472
"Minimal degree";15;9;1
"Maximal degree";18;18;8
"Degree correlation";-0,0992907801417449;-0,105536129778622;-0,63887291546866
"Average strength";6,87937461178867;7,08483356323139;-0,278837148386545
"Strength stdev";2,94956065984661;2,71678702270036;0,39413572729728
"Minimal strength";0,992101300269659;2,37403689719479;-1,47283082642717
"Maximal strength";9,61794749750376;9,61794749750376;-0,0131578947368421
"Strength correlation";-0,0194808750406521;-0,0278070853986703;-0,279090659449707
