"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";2;3;4
"Proportion of isolates";0,105263157894737;0,157894736842105;0,210526315789474
"Number of links";79;65;14
"Proportion of links";1;0,822784810126582;0,177215189873418
"Density";0,580882352941177;0,541666666666667;0,133333333333333
"Global transitivity";0,86328125;1;0
"Average local transitivity";0,926489656177156;1;0
"Number of components";1;2;1
"Giant component size";17;11;15
"Giant component proportion";1;0,6875;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";9,29411764705882;8,125;1,86666666666667
"Degree stdev";3,75440917259881;2,87228132326901;2,35634907269296
"Minimal degree";1;4;1
"Maximal degree";16;10;9
"Degree correlation";-0,0111374876360049;1;-0,822652156388553
"Average strength";6,44120739015203;7,656677378534;-0,867087494930632
"Strength stdev";3,82565888912836;3,05206265041602;1,11037895693749
"Minimal strength";-0,503420762244292;2,81381381381381;-3,68834139716493
"Maximal strength";9,4594304388422;9,83006535947712;-0,342857142857143
"Strength correlation";0,393586398221514;0,988233268498508;-0,869764298780126
