"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;2;9
"Proportion of isolates";0,0476190476190476;0,0952380952380952;0,428571428571429
"Number of links";71;43;28
"Proportion of links";1;0,605633802816901;0,394366197183099
"Density";0,373684210526316;0,251461988304094;0,424242424242424
"Global transitivity";0,734345351043643;0,76036866359447;0
"Average local transitivity";0,816378066378066;0,813919413919414;0
"Number of components";2;4;1
"Giant component size";18;13;12
"Giant component proportion";0,9;0,684210526315789;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,1;4,52631578947368;4,66666666666667
"Degree stdev";3,14391643119148;2,69502465568255;1,55699788832305
"Minimal degree";1;1;2
"Maximal degree";12;8;7
"Degree correlation";0,150064129970073;0,689937725335956;-0,567627494456764
"Average strength";2,58871410448639;4,09083543480992;-2,16263259763839
"Strength stdev";3,27762316794562;2,54411937688901;0,672562268573308
"Minimal strength";-2,52098917403587;0,729508196721312;-3,25049737075718
"Maximal strength";6,74889963497155;7,2442962551326;-1,04918032786885
"Strength correlation";0,296878942513497;0,699850827830641;-0,68004519205747
