"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;1;6
"Proportion of isolates";0;0,0476190476190476;0,285714285714286
"Number of links";89;74;15
"Proportion of links";1;0,831460674157303;0,168539325842697
"Density";0,423809523809524;0,389473684210526;0,142857142857143
"Global transitivity";0,721254355400697;0,804314329738058;0
"Average local transitivity";0,771515034672929;0,812711145064086;0
"Number of components";1;2;1
"Giant component size";21;18;15
"Giant component proportion";1;0,9;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,47619047619048;7,4;2
"Degree stdev";4,42288421303393;4,29687769138672;2,82842712474619
"Minimal degree";1;1;1
"Maximal degree";14;12;12
"Degree correlation";-0,00727475507902297;0,393730904152994;-0,754062657061484
"Average strength";5,39070796903326;6,19099000708793;-0,707662186137343
"Strength stdev";4,1855104698953;3,67048180020767;0,995460753571375
"Minimal strength";-3,46782427902067;0,659836065573771;-4,17893539013178
"Maximal strength";10,4603424724784;10,4603424724784;-0,279569892473118
"Strength correlation";0,283315739166822;0,40044141778638;-0,772917747293384
