"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;1
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,0526315789473684
"Number of links";149;69;80
"Proportion of links";1;0,463087248322148;0,536912751677852
"Density";0,973856209150327;0,450980392156863;0,522875816993464
"Global transitivity";0,977644024075666;0,967741935483871;0,033175355450237
"Average local transitivity";0,97875816993464;0,970238095238095;0,0333333333333333
"Number of components";1;2;1
"Giant component size";18;9;18
"Giant component proportion";1;0,5;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,5555555555556;7,66666666666667;8,88888888888889
"Degree stdev";0,983524408155643;0,76696498884737;0,471404520791032
"Minimal degree";13;5;8
"Maximal degree";17;8;10
"Degree correlation";-0,146153846153803;-0,0599078341013831;-0,220442410373706
"Average strength";1,43030303030303;5,68451178451178;-4,25420875420875
"Strength stdev";1,17361612876429;1,39602374153218;1,59931549964355
"Minimal strength";0,127272727272728;2,66666666666667;-5,96363636363636
"Maximal strength";3,28484848484848;6,61818181818182;-1,65454545454546
"Strength correlation";-0,0475818124391141;0,0604517475816361;-0,0228253005245177
