"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;1;9
"Proportion of isolates";0,0476190476190476;0,0476190476190476;0,428571428571429
"Number of links";97;81;16
"Proportion of links";1;0,835051546391753;0,164948453608247
"Density";0,510526315789474;0,426315789473684;0,242424242424242
"Global transitivity";0,822;0,911688311688312;0
"Average local transitivity";0,827745587745588;0,943447293447293;0
"Number of components";1;3;1
"Giant component size";20;14;12
"Giant component proportion";1;0,7;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";9,7;8,1;2,66666666666667
"Degree stdev";4,05358840379341;4,52943588912397;2,67423169368609
"Minimal degree";3;1;1
"Maximal degree";15;13;10
"Degree correlation";0,415649214780069;0,65566770913313;-0,880701754385965
"Average strength";5,96885495357792;6,3204358299724;-0,585968127324137
"Strength stdev";3,81546870852313;3,55856198089405;0,606553840631318
"Minimal strength";-1,48465265483136;0,796875;-2,28152765483136
"Maximal strength";10,106205545768;10,2880237275861;-0,181818181818182
"Strength correlation";0,34385016474505;0,690018296866077;-0,841140122055877
