"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;1;5
"Proportion of isolates";0;0,0476190476190476;0,238095238095238
"Number of links";83;60;23
"Proportion of links";1;0,72289156626506;0,27710843373494
"Density";0,395238095238095;0,315789473684211;0,191666666666667
"Global transitivity";0,731132075471698;0,895774647887324;0
"Average local transitivity";0,760494227994228;0,908963585434174;0
"Number of components";1;3;1
"Giant component size";21;10;16
"Giant component proportion";1;0,5;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,90476190476191;6;2,875
"Degree stdev";2,50808217378861;2,40613251592894;2,39095517872391
"Minimal degree";1;1;1
"Maximal degree";11;8;10
"Degree correlation";0,139426158428533;0,447200566973775;-0,664938556067589
"Average strength";4,38895996315754;4,95937581332558;-0,438709815012704
"Strength stdev";2,46642926347809;1,99416156778352;0,381206029934525
"Minimal strength";-0,789018493269274;0,593846153846154;-1,60213324736764
"Maximal strength";6,83469552151581;6,83469552151581;-0,12316715542522
"Strength correlation";-0,0249999146049472;0,224990596669608;-0,613471715559694
