Global time spent: 2985.99
I(P) = 757.999
Clustering configuration: 
 Partition 0 (672): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 37 38 40 41 42 43 44 45 47 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 66 67 69 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 100 101 102 103 104 105 106 107 108 109 110 111 112 113 115 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 137 138 139 140 141 142 143 144 146 147 148 149 151 152 154 155 156 158 159 161 164 165 166 167 168 169 170 171 172 173 174 175 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 196 197 198 199 200 201 202 203 204 206 207 208 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 228 229 230 231 232 233 234 236 237 238 239 240 241 242 244 246 247 248 249 250 252 253 254 255 256 257 258 260 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 305 307 308 309 310 311 312 313 314 315 317 319 322 323 324 325 326 328 330 331 332 334 335 336 337 338 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 356 357 358 359 360 363 364 365 366 367 368 369 370 371 372 373 374 375 377 378 379 380 381 382 383 384 385 387 388 390 391 392 393 394 395 396 397 398 399 400 402 403 404 405 406 407 409 410 412 413 414 415 416 417 418 419 420 421 422 423 424 425 427 428 429 430 431 432 433 435 437 438 439 440 441 442 443 444 445 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 465 466 467 468 469 470 471 472 475 476 477 478 479 480 481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 498 499 500 502 504 505 506 507 508 509 510 512 513 514 515 516 518 521 522 523 524 526 527 528 529 530 531 532 533 534 535 536 537 538 539 540 541 542 543 544 545 546 549 550 551 552 553 554 555 556 557 558 559 561 562 563 564 565 568 569 571 572 573 574 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 596 597 599 600 601 602 603 604 605 606 608 609 610 611 613 614 615 616 617 620 621 622 623 624 626 627 628 629 630 632 633 634 635 636 637 638 639 640 641 642 643 644 645 646 647 648 649 650 652 654 655 656 657 658 659 661 662 664 665 666 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 689 690 691 692 693 694 695 696 697 698 700 701 702 703 704 705 706 707 708 709 710 711 712 713 714 716 717 718 719 720 721 722 723 725 726 727 728 729 730 731 732 733 734 736 737 738 739 740 741 742 743 744 745 746 747 748 749 750 751 752 753 754 755 756 757 758 759 760 762 763 ] 
 Partition 1 (89): [ 33 36 39 46 48 56 68 70 99 114 116 136 150 153 157 160 162 163 176 195 205 209 226 227 235 243 245 251 259 287 304 306 316 318 320 321 327 329 333 339 355 361 362 376 386 389 408 411 426 434 436 446 463 464 473 474 496 497 501 503 511 517 519 520 525 547 548 560 566 567 570 598 607 612 618 619 625 631 651 653 660 663 667 688 699 715 724 735 761 ] 
 Partition 2 (3): [ 145 261 401 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
222,0,0
223,0,0
224,0,0
225,0,0
226,3.66666,0.333333
227,8.99999,5.33333
228,3.66666,0.333333
229,0,0
230,0,0
231,0,0
232,3,1.33333
233,0.333333,2.33333
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0.666666,0.333333
240,0,0
241,0,0
242,0,0
243,0.666666,0.666666
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0.333333,2.33333
254,0.333333,2.33333
255,0,0
256,0.333333,0.999999
257,0,0
258,0,0
259,2.33333,0
260,0,0
261,15.6667,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0.999999
268,14.6667,0
269,0,0
270,0.333333,2.33333
271,0,0
272,0,0
273,0,0
274,3,1.33333
275,0,0
276,0,0
277,0,0
278,0.333333,0.999999
279,0,0
280,0,0
281,0,0
282,14.6667,0
283,0,0
284,0.333333,2.33333
285,0.333333,2.33333
286,0,0
287,5.99999,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0.666666,0.333333
294,0,0
295,0,0.999999
296,2.66666,1.33333
297,0,0
298,0.666666,0.333333
299,0,0
300,0.666666,0.333333
301,0,0
302,0,0
303,0.666666,0.333333
304,0,0
305,0,0
306,2.66666,0
307,0,0
308,0,0
309,0,0
310,0,0
311,2.66666,1.33333
312,0,0
313,11.3333,0
314,0,0.999999
315,0,0
316,6,0
317,2.66666,1.33333
318,0,0
319,0,0
320,3.66666,0
321,0,0
322,0,0
323,0,0
324,0.333333,2.33333
325,0,0
326,0,0
327,6,0
328,0,0
329,6,0
330,0,0
331,0,0
332,0,0
333,3.66666,0
334,0.666666,0.333333
335,0,0
336,0,0
337,0,0
338,0,0
339,0.666666,0.666666
340,0,0
341,0,0
342,0,0
343,0,0
344,0.666666,0.333333
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0.666666,0.333333
351,2.66666,1.33333
352,0,0
353,0,0
354,0,0.999999
355,6.33333,0
356,0.333333,2.33333
357,0,0
358,0,0
359,0,0
360,0.333333,4
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0.333333,2.33333
369,0.666666,0.333333
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0.333333,0.999999
378,0,0.999999
379,0,0
380,0,0
381,0,0
382,0.666666,0.333333
383,0,0
384,0,0
385,0,0
386,6.33333,0
387,0,0.999999
388,0,0
389,6.33333,0
390,0,0
391,0,0
392,0,0.999999
393,0,0
394,0,0
395,0,0
396,0,0
397,9.33333,7.99999
398,0,0
399,0,0
400,0,0
401,9.99999,0
402,0,0
403,0,0
404,4.66666,6.66666
405,0,0
406,0.666666,0.333333
407,0,0
408,4.66667,0
409,0.666666,0.333333
410,0,2
411,0,0
412,0,0
413,0,2
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,3,0
437,0,0
438,0,0.666666
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,8.33333,6.99999
446,11,0.666666
447,0,0
448,0.666666,11
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,4.33333,5.99999
457,0,0
458,0.333333,0
459,0,0.333333
460,0,0.333333
461,0,0
462,0,0
463,0,0
464,0,0.333333
465,0,0
466,0,0
467,4.33333,5.33333
468,0,1.33333
469,0,0
470,1.33333,0.666666
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0.333333,0
480,0.333333,0
481,0,0
482,0,0
483,0.333333,0
484,0,0
485,0,0
486,0,0
487,0,0
488,2,0
489,0,1.33333
490,0,0
491,0,0
492,0,0
493,0,0
494,0,1.33333
495,3,0
496,0.666666,0
497,4,0
498,0,0
499,1.33333,0.666666
500,0.333333,0
501,4,0
502,0,0
503,1.66667,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0.333333
517,1.33333,0
518,0,0
519,0.666666,0
520,0,0
521,0.333333,0
522,0.333333,0
523,0.333333,0
524,0,0
525,2,0
526,0,0
527,0,0
528,0,0
529,0,0.333333
530,0,1.33333
531,0,0
532,5.66667,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0.333333
543,0,0
544,0,0
545,1.33333,0.666666
546,0,0.333333
547,2.66667,0
548,0,0.333333
549,0,0
550,0,0
551,0,0
552,5.33333,4.66666
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,2.66667,0
561,0,0
562,0,0.333333
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0.999999
578,0,0.999999
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0.999999
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0.333333,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0.333333
598,1.33333,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0.999999,0
608,0,0
609,0,0
610,4,3.66666
611,0,0
612,0,0
613,0,0.333333
614,0,0
615,0,0
616,0,0
617,4,3.66666
618,1.33333,0
619,2.66667,0
620,0,0
621,0,0
622,0.666666,0.666666
623,0,0
624,0.666666,0.666666
625,0.333333,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,3.33333,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0.333333
650,0,0
651,0.666666,0
652,0,0
653,0.333333,0
654,0,0.333333
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0.666666,0
661,0,0
662,0,0
663,0.333333,0
664,0,0
665,0,0
666,0,0
667,1.33333,0
668,0,0
669,0.999999,1.66667
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0.999999
684,0,0
685,0,0
686,0.666666,3
687,0,0
688,0.999999,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0.333333
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0.333333
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0.333333
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,0,0
3,0,0.333333
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0.333333
33,0.333333,0
34,0,0
35,0,0
36,0.333333,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,2.66667,0.333333
47,0,0.333333
48,1,0.333333
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0.333333
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0.333333
66,0,0
67,0,0
68,0.333333,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0.333333
74,0,0
75,0,0
76,0,0
77,0,0
78,0.333333,0
79,0.333333,0
80,0.666666,0.333333
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0.333333,0
91,0,0
92,0,0
93,0.333333,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0.333333,0.666666
100,0,0
101,0.333333,0
102,1.33333,0.999999
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0.333333
115,0,0
116,0.333333,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0.666666,0.666666
124,0,0
125,0,0.333333
126,0.333333,0
127,0,0
128,0.333333,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,1.33333,1.33333
136,0.999999,0
137,0.333333,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,3.33333,0
146,0,0
147,0.333333,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0.333333,0
154,0,0
155,0.333333,0.333333
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,2,0.666666
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,2,0.666666
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0.999999,0
196,0,0
197,0.333333,0
198,0,0
199,0,0
200,0.333333,0
201,0,0
202,0.333333,0
203,0,0
204,0,0
205,2,0.666666
206,0,0
207,0,0
208,0,0
209,0.999999,1.66667
210,0,0
211,0,0
212,0.333333,0.333333
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0.999999,0.999999
227,0.999999,2
228,1.66667,0
229,0,0
230,0,0
231,0,0
232,2.66666,1.33333
233,0.333333,0.333333
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0.333333,0
240,0,0
241,0,0
242,0,0
243,0.333333,0.333333
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0.333333,0.333333
254,0.333333,0.333333
255,0,0
256,0,0
257,0,0
258,0,0
259,0.999999,1.33333
260,0,0
261,8.33333,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0.333333,0
268,5.66667,0
269,0,0
270,0.333333,0.333333
271,0,0
272,0,0
273,0,0
274,2.66666,1.33333
275,0,0
276,0,0
277,0,0
278,0.666666,0
279,0,0
280,0,0
281,0,0
282,5.66667,0
283,0,0
284,0.333333,0.333333
285,0.333333,0.333333
286,0,0
287,2.33333,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0.333333,0
294,0,0
295,0.333333,0
296,3,1.33333
297,0,0
298,0.333333,0
299,0,0
300,0.333333,0
301,0,0
302,0,0
303,0.333333,0
304,0,0
305,0,0
306,2,1.33333
307,0,0
308,0,0
309,0,0
310,0,0
311,3,1.33333
312,0,0
313,5.33333,0
314,0.333333,0
315,0,0
316,4.66667,1.33333
317,3,1.33333
318,0,0
319,0,0
320,1.33333,0
321,0,0
322,0,0
323,0,0
324,0.333333,0.333333
325,0,0
326,0,0
327,4.66667,1.33333
328,0,0
329,4.66667,1.33333
330,0,0
331,0,0
332,0,0
333,1.33333,0
334,0.333333,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0.333333,0.333333
340,0,0
341,0,0
342,0,0
343,0,0
344,0.333333,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0.333333,0
351,3,1.33333
352,0,0
353,0,0
354,0.333333,0
355,4.66666,0
356,0.333333,0.333333
357,0,0
358,0,0
359,0,0
360,0.666666,3
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0.333333,0.333333
369,0.333333,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0.666666,0
378,0.333333,0
379,0,0
380,0,0
381,0,0
382,0.333333,0
383,0,0
384,0,0
385,0,0
386,4.66666,0
387,0.333333,0
388,0,0
