"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;13
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,684210526315789
"Number of links";140;136;4
"Proportion of links";1;0,971428571428571;0,0285714285714286
"Density";0,915032679738562;0,888888888888889;0,266666666666667
"Global transitivity";0,929332042594385;0,915902140672783;0
"Average local transitivity";0,933413617972441;0,925062745896079;0
"Number of components";1;1;2
"Giant component size";18;18;4
"Giant component proportion";1;1;0,666666666666667
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,5555555555556;15,1111111111111;1,33333333333333
"Degree stdev";1,82215845576297;2,24627505750897;0,516397779494322
"Minimal degree";11;10;1
"Maximal degree";17;17;2
"Degree correlation";-0,153816108116571;-0,180515434721037;0
"Average strength";8,18015873015873;8,3542328042328;-0,522222222222222
"Strength stdev";2,74348616785431;2,7175269427878;0,460273670604622
"Minimal strength";2,36904761904762;2,53571428571429;-1,2
"Maximal strength";14;15;-0,166666666666667
"Strength correlation";-0,0261504291268425;0,00334580340153035;0,518394648829431
