"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";2;2;7
"Proportion of isolates";0,0952380952380952;0,0952380952380952;0,333333333333333
"Number of links";80;41;39
"Proportion of links";1;0,5125;0,4875
"Density";0,467836257309941;0,239766081871345;0,428571428571429
"Global transitivity";0,837606837606838;0,903614457831325;0
"Average local transitivity";0,912211764843344;0,955182072829132;0
"Number of components";2;4;1
"Giant component size";14;8;14
"Giant component proportion";0,736842105263158;0,421052631578947;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,42105263157895;4,31578947368421;5,57142857142857
"Degree stdev";3,46916239448346;1,82734268448742;1,82774706692675
"Minimal degree";4;1;1
"Maximal degree";13;7;8
"Degree correlation";0,350880664951514;0,697835099032704;-0,478072550081218
"Average strength";2,66449341284484;3,96211246833848;-1,76105443245565
"Strength stdev";2,16017055793391;1,96521528687988;0,620981144514303
"Minimal strength";-1,19264278109858;0,809364548494983;-2,55534401027334
"Maximal strength";5,09491759397289;6,93098406133733;-0,241935483870968
"Strength correlation";-0,140544177040141;0,765614006053365;-0,362123155974526
