"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;4;2
"Proportion of isolates";0;0,210526315789474;0,105263157894737
"Number of links";83;52;31
"Proportion of links";1;0,626506024096386;0,373493975903614
"Density";0,485380116959064;0,495238095238095;0,227941176470588
"Global transitivity";0,7875;0,910216718266254;0
"Average local transitivity";0,798442915109582;0,921851851851852;0
"Number of components";1;1;1
"Giant component size";19;15;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,73684210526316;6,93333333333333;3,64705882352941
"Degree stdev";2,94093910290872;1,43759057685652;3,42675459565221
"Minimal degree";1;5;1
"Maximal degree";13;9;13
"Degree correlation";0,370986101126288;0,776967617413681;-0,903628367234745
"Average strength";4,26263395692434;6,74137092883148;-1,18414816181822
"Strength stdev";3,89049188183079;1,54982025868655;1,13785555511806
"Minimal strength";-4,28710658710658;4,55016233766234;-4,28710658710658
"Maximal strength";8,9;8,9;-0,264705882352941
"Strength correlation";-0,125014818919179;0,785001545763116;-0,875112666875197
