"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;4
"Proportion of isolates";0;0;0,19047619047619
"Number of links";202;163;39
"Proportion of links";1;0,806930693069307;0,193069306930693
"Density";0,961904761904762;0,776190476190476;0,286764705882353
"Global transitivity";0,967585089141005;0,876646706586826;0
"Average local transitivity";0,969924812030075;0,895294625027044;0
"Number of components";1;1;1
"Giant component size";21;21;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,2380952380952;15,5238095238095;4,58823529411765
"Degree stdev";1,33808676492827;3,70970413401187;3,1036032190305
"Minimal degree";16;8;2
"Maximal degree";20;20;12
"Degree correlation";-0,167180277349738;-0,0629068404555458;-0,697550490349738
"Average strength";6,64871685640148;7,23341330511038;-0,722272083699225
"Strength stdev";3,12440464961148;2,68531721863903;0,636663828228219
"Minimal strength";-0,879632157097792;0,922802305854852;-2,29384769162272
"Maximal strength";9,2292098328128;9,31440841291192;-0,0557118290835791
"Strength correlation";-0,0554041406378075;0,0755473448785411;-0,582027038486766
