"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;4
"Proportion of isolates";0;0;0,19047619047619
"Number of links";201;145;56
"Proportion of links";1;0,721393034825871;0,278606965174129
"Density";0,957142857142857;0,69047619047619;0,411764705882353
"Global transitivity";0,964285714285714;0,810647915620291;0
"Average local transitivity";0,966910331384016;0,884947385489181;0
"Number of components";1;1;1
"Giant component size";21;21;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,1428571428571;13,8095238095238;6,58823529411765
"Degree stdev";1,45896244933563;3,65539392704873;2,12305274102564
"Minimal degree";15;10;1
"Maximal degree";20;20;8
"Degree correlation";-0,161540829462156;-0,236220010175991;-0,250253704079561
"Average strength";4,91657580969518;6,25388190150863;-1,65196634871073
"Strength stdev";2,35277334923966;1,82487216765203;0,813260751326076
"Minimal strength";0,337428301958303;2,513591685488;-2,55534401027334
"Maximal strength";8,18777341220872;8,18777341220872;-0,0050251256281407
"Strength correlation";-0,0360623030106032;0,181346878888586;-0,210694912200687
