"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;2;12
"Proportion of isolates";0,0476190476190476;0,0952380952380952;0,571428571428571
"Number of links";52;43;9
"Proportion of links";1;0,826923076923077;0,173076923076923
"Density";0,273684210526316;0,251461988304094;0,25
"Global transitivity";0,71830985915493;0,827027027027027;0
"Average local transitivity";0,828395061728395;0,892436974789916;0
"Number of components";2;3;1
"Giant component size";18;13;9
"Giant component proportion";0,9;0,684210526315789;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";5,2;4,52631578947368;2
"Degree stdev";2,62778674132715;1,92551352609668;1,6583123951777
"Minimal degree";1;1;1
"Maximal degree";9;7;6
"Degree correlation";0,391456992393212;0,743283582089552;-0,685878962536023
"Average strength";3,61729426046694;3,90535756977549;-0,206212068488393
"Strength stdev";1,97545168939334;1,82029672946165;0,193957378771793
"Minimal strength";-0,189794213424718;0,776470588235294;-0,663015586102529
"Maximal strength";6,43627734731534;6,51840295118008;-0,0692124105011933
"Strength correlation";0,284522305656039;0,721627933407976;-0,676207033088245
