"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;4
"Proportion of isolates";0;0;0,210526315789474
"Number of links";170;115;55
"Proportion of links";1;0,676470588235294;0,323529411764706
"Density";0,994152046783626;0,672514619883041;0,523809523809524
"Global transitivity";0,994082840236686;0,836137527432334;0
"Average local transitivity";0,994152046783626;0,922944616443068;0
"Number of components";1;1;1
"Giant component size";19;19;15
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,8947368421053;12,1052631578947;7,33333333333333
"Degree stdev";0,315301767642306;3,16042783394389;0,617213399848368
"Minimal degree";17;10;6
"Maximal degree";18;18;8
"Degree correlation";-0,111111111110339;-0,209041527948131;-0,73850574712643
"Average strength";5,4790693813645;6,03013068102605;-0,698010979571294
"Strength stdev";1,94327197497023;1,80939026247444;0,224206493014497
"Minimal strength";2,73852722718476;3,33472167999943;-0,963169103945836
"Maximal strength";12,4073789173789;12,4073789173789;-0,179360681121927
"Strength correlation";-0,0525235253360586;-0,0695039514917028;-0,0748554414738345
