"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;1;9
"Proportion of isolates";0;0,0476190476190476;0,428571428571429
"Number of links";81;70;11
"Proportion of links";1;0,864197530864197;0,135802469135802
"Density";0,385714285714286;0,368421052631579;0,166666666666667
"Global transitivity";0,927884615384615;0,966942148760331;0
"Average local transitivity";0,940101697244555;0,957671957671958;0
"Number of components";2;3;1
"Giant component size";13;10;12
"Giant component proportion";0,619047619047619;0,5;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,71428571428571;7;1,83333333333333
"Degree stdev";2,83095137971066;2,5955427380922;2,32900030576263
"Minimal degree";2;1;1
"Maximal degree";12;9;9
"Degree correlation";0,588414634146343;0,837962962962963;-0,785172212492703
"Average strength";5,27832240439503;6,10625353653805;-0,94002501987212
"Strength stdev";3,13314839902474;2,29889923144456;1,23119030023532
"Minimal strength";-4,73919672940221;0,834905660377358;-4,73919672940221
"Maximal strength";7,76603003808146;8,31856197711026;-0,408759124087591
"Strength correlation";-0,0441643837578446;0,754950197118112;-0,772087759432201
